year,abbrev,opioid_cat,nhb_modeled,nhw_modeled
1999,AL,All opioids,0.32,0.92
1999,AL,Natural and semi-synthetic opioids,0.14,0.37
1999,AL,Heroin,0.09,0.03
1999,AL,Synthetic opioids,0.13,0.25
1999,AR,All opioids,0.72,0.8
1999,AR,Natural and semi-synthetic opioids,0.45,0.17
1999,AR,Heroin,0.27,0.04
1999,AR,Synthetic opioids,0.53,0.39
1999,AZ,All opioids,5.02,5.21
1999,AZ,Natural and semi-synthetic opioids,2.01,1.84
1999,AZ,Heroin,0.5700000000000001,0.38
1999,AZ,Synthetic opioids,0.9400000000000001,0.44
1999,CA,All opioids,3.68,4.76
1999,CA,Natural and semi-synthetic opioids,2.8,3.08
1999,CA,Heroin,1.71,1.1800000000000002
1999,CA,Synthetic opioids,0.4,0.45
1999,CO,All opioids,6.3,3.42
1999,CO,Natural and semi-synthetic opioids,1.97,1.2
1999,CO,Heroin,0.91,0.8700000000000001
1999,CO,Synthetic opioids,0.5700000000000001,0.52
1999,CT,All opioids,5.03,4.24
1999,CT,Natural and semi-synthetic opioids,0.33999999999999997,0.53
1999,CT,Heroin,3.56,2.71
1999,CT,Synthetic opioids,0.39,0.23
1999,DC,All opioids,11.75,4.22
1999,DC,Natural and semi-synthetic opioids,1.45,1.12
1999,DC,Heroin,6.25,2.1
1999,DC,Synthetic opioids,0.43000000000000005,0.69
1999,DE,All opioids,2.9099999999999997,5.359999999999999
1999,DE,Natural and semi-synthetic opioids,0.5,0.8600000000000001
1999,DE,Heroin,2.4099999999999997,1.99
1999,DE,Synthetic opioids,0.52,0.73
1999,FL,All opioids,1.23,3.4899999999999998
1999,FL,Natural and semi-synthetic opioids,0.51,2.22
1999,FL,Heroin,0.77,1.1400000000000001
1999,FL,Synthetic opioids,0.18,1.03
1999,GA,All opioids,0.5700000000000001,1.3800000000000001
1999,GA,Natural and semi-synthetic opioids,0.28,0.8
1999,GA,Heroin,0.02,0.02
1999,GA,Synthetic opioids,0.1,0.26
1999,IL,All opioids,10.06,2.86
1999,IL,Natural and semi-synthetic opioids,0.23,0.39
1999,IL,Heroin,0.5,0.19
1999,IL,Synthetic opioids,0.02,0.15000000000000002
1999,IN,All opioids,0.42000000000000004,0.61
1999,IN,Natural and semi-synthetic opioids,0.36,0.24000000000000002
1999,IN,Heroin,0.24000000000000002,0.03
1999,IN,Synthetic opioids,0.17,0.13
1999,KS,All opioids,2.15,0.91
1999,KS,Natural and semi-synthetic opioids,1.12,0.21000000000000002
1999,KS,Heroin,0.6,0.04
1999,KS,Synthetic opioids,0.71,0.52
1999,KY,All opioids,0.32,1.73
1999,KY,Natural and semi-synthetic opioids,0.33999999999999997,1.1500000000000001
1999,KY,Heroin,0.45,0.03
1999,KY,Synthetic opioids,0.33999999999999997,0.4
1999,LA,All opioids,0.28,1.37
1999,LA,Natural and semi-synthetic opioids,0.19,1.02
1999,LA,Heroin,0.09,0.05
1999,LA,Synthetic opioids,0.09,0.18
1999,MA,All opioids,7.26,4.6899999999999995
1999,MA,Natural and semi-synthetic opioids,0.7799999999999999,0.58
1999,MA,Heroin,0.21000000000000002,0.22
1999,MA,Synthetic opioids,0.51,0.13
1999,MD,All opioids,16.49,7.79
1999,MD,Natural and semi-synthetic opioids,0.08,0.24000000000000002
1999,MD,Heroin,0.2,0.01
1999,MD,Synthetic opioids,0.12000000000000001,0.24000000000000002
1999,MI,All opioids,3.07,1.02
1999,MI,Natural and semi-synthetic opioids,0.59,0.36
1999,MI,Heroin,1.71,0.37
1999,MI,Synthetic opioids,1,0.12000000000000001
1999,MN,All opioids,11.32,1.08
1999,MN,Natural and semi-synthetic opioids,1.86,0.43000000000000005
1999,MN,Heroin,1.1900000000000002,0.05
1999,MN,Synthetic opioids,1.04,0.18
1999,MO,All opioids,2.44,1.75
1999,MO,Natural and semi-synthetic opioids,0.72,0.53
1999,MO,Heroin,1.33,0.73
1999,MO,Synthetic opioids,0.06,0.61
1999,MS,All opioids,0.07,0.53
1999,MS,Natural and semi-synthetic opioids,0.07,0.3
1999,MS,Heroin,0.1,0.08
1999,MS,Synthetic opioids,0.07,0.2
1999,NC,All opioids,1.26,3.2600000000000002
1999,NC,Natural and semi-synthetic opioids,0.29000000000000004,1.29
1999,NC,Heroin,0.8700000000000001,0.5700000000000001
1999,NC,Synthetic opioids,0.24000000000000002,0.91
1999,NJ,All opioids,6.49,4.8
1999,NJ,Natural and semi-synthetic opioids,1.02,1.01
1999,NJ,Heroin,5.6499999999999995,2.75
1999,NJ,Synthetic opioids,0.2,0.33999999999999997
1999,NV,All opioids,6.29,10.950000000000001
1999,NV,Natural and semi-synthetic opioids,2.2,4.95
1999,NV,Heroin,2.62,2.64
1999,NV,Synthetic opioids,1.21,1.36
1999,NY,All opioids,3.96,1.97
1999,NY,Natural and semi-synthetic opioids,0.3,0.27
1999,NY,Heroin,0.1,0.12000000000000001
1999,NY,Synthetic opioids,0.14,0.1
1999,OH,All opioids,3.06,2.03
1999,OH,Natural and semi-synthetic opioids,0.8500000000000001,0.96
1999,OH,Heroin,1.47,0.47000000000000003
1999,OH,Synthetic opioids,0.24000000000000002,0.35
1999,OK,All opioids,2.42,4.04
1999,OK,Natural and semi-synthetic opioids,1.06,2.08
1999,OK,Heroin,0.46,0.27
1999,OK,Synthetic opioids,0.44,0.63
1999,PA,All opioids,2.27,2.48
1999,PA,Natural and semi-synthetic opioids,0.35,0.77
1999,PA,Heroin,2.18,1.44
1999,PA,Synthetic opioids,0.2,0.17
1999,SC,All opioids,0.6599999999999999,1.98
1999,SC,Natural and semi-synthetic opioids,0.32,1.1700000000000002
1999,SC,Heroin,0.1,0.11
1999,SC,Synthetic opioids,0.11,0.55
1999,TN,All opioids,0.38,1.53
1999,TN,Natural and semi-synthetic opioids,0.31,0.91
1999,TN,Heroin,0.16,0.09
1999,TN,Synthetic opioids,0.19,0.23
1999,TX,All opioids,1.7,2.04
1999,TX,Natural and semi-synthetic opioids,0.33999999999999997,0.7899999999999999
1999,TX,Heroin,0.65,0.6799999999999999
1999,TX,Synthetic opioids,0.14,0.46
1999,WA,All opioids,12.7,5.7
1999,WA,Natural and semi-synthetic opioids,1.46,1.6
1999,WA,Heroin,1.71,1.03
1999,WA,Synthetic opioids,1.12,0.5700000000000001
1999,WI,All opioids,4.39,1.5
1999,WI,Natural and semi-synthetic opioids,1.6400000000000001,0.8500000000000001
1999,WI,Heroin,3.16,0.16
1999,WI,Synthetic opioids,0.8200000000000001,0.44
2000,AL,All opioids,0.35,1.12
2000,AL,Natural and semi-synthetic opioids,0.15000000000000002,0.45
2000,AL,Heroin,0.09,0.03
2000,AL,Synthetic opioids,0.12000000000000001,0.27
2000,AR,All opioids,0.7799999999999999,1.23
2000,AR,Natural and semi-synthetic opioids,0.48000000000000004,0.39
2000,AR,Heroin,0.27,0.05
