year,race_eth,race_cat,opioid_type,opioid_cat,abbrev,obs_rate,obs_lower,obs_upper,model_rate
1999,nhb,Non-Hispanic Black,heroin,Heroin,DC,5.92,3.3327999999999998,8.507200000000001,6.25
2000,nhb,Non-Hispanic Black,heroin,Heroin,DC,NA,NA,NA,1.51
2001,nhb,Non-Hispanic Black,heroin,Heroin,DC,NA,NA,NA,0.37
2002,nhb,Non-Hispanic Black,heroin,Heroin,DC,NA,NA,NA,0.48000000000000004
2003,nhb,Non-Hispanic Black,heroin,Heroin,DC,NA,NA,NA,0.63
2004,nhb,Non-Hispanic Black,heroin,Heroin,DC,NA,NA,NA,0.8300000000000001
2005,nhb,Non-Hispanic Black,heroin,Heroin,DC,NA,NA,NA,1.09
2006,nhb,Non-Hispanic Black,heroin,Heroin,DC,NA,NA,NA,1.43
2007,nhb,Non-Hispanic Black,heroin,Heroin,DC,NA,NA,NA,1.87
2008,nhb,Non-Hispanic Black,heroin,Heroin,DC,NA,NA,NA,2.4499999999999997
2009,nhb,Non-Hispanic Black,heroin,Heroin,DC,NA,NA,NA,3.22
2010,nhb,Non-Hispanic Black,heroin,Heroin,DC,3.8699999999999997,1.7335999999999996,6.006399999999999,4.22
2011,nhb,Non-Hispanic Black,heroin,Heroin,DC,6.26,3.6531999999999996,8.8668,5.54
2012,nhb,Non-Hispanic Black,heroin,Heroin,DC,6.41,3.5876,9.2324,7.2700000000000005
2013,nhb,Non-Hispanic Black,heroin,Heroin,DC,7.64,4.7196,10.5604,9.54
2014,nhb,Non-Hispanic Black,heroin,Heroin,DC,8.83,5.635199999999999,12.0248,12.51
2015,nhb,Non-Hispanic Black,heroin,Heroin,DC,17.01,12.580400000000001,21.439600000000002,16.41
2016,nhb,Non-Hispanic Black,heroin,Heroin,DC,31.479999999999997,25.560799999999997,37.39919999999999,21.53
2017,nhb,Non-Hispanic Black,heroin,Heroin,DC,32.58,26.6608,38.4992,28.25
2018,nhb,Non-Hispanic Black,heroin,Heroin,DC,21.54,16.5028,26.577199999999998,37.06
1999,nhw,Non-Hispanic White,heroin,Heroin,DC,NA,NA,NA,2.1
2000,nhw,Non-Hispanic White,heroin,Heroin,DC,NA,NA,NA,1.55
2001,nhw,Non-Hispanic White,heroin,Heroin,DC,NA,NA,NA,1.1400000000000001
2002,nhw,Non-Hispanic White,heroin,Heroin,DC,NA,NA,NA,0.8400000000000001
2003,nhw,Non-Hispanic White,heroin,Heroin,DC,NA,NA,NA,0.62
2004,nhw,Non-Hispanic White,heroin,Heroin,DC,NA,NA,NA,0.46
2005,nhw,Non-Hispanic White,heroin,Heroin,DC,NA,NA,NA,0.33999999999999997
2006,nhw,Non-Hispanic White,heroin,Heroin,DC,NA,NA,NA,0.46
2007,nhw,Non-Hispanic White,heroin,Heroin,DC,NA,NA,NA,0.62
2008,nhw,Non-Hispanic White,heroin,Heroin,DC,NA,NA,NA,0.8300000000000001
2009,nhw,Non-Hispanic White,heroin,Heroin,DC,NA,NA,NA,1.12
2010,nhw,Non-Hispanic White,heroin,Heroin,DC,NA,NA,NA,1.51
2011,nhw,Non-Hispanic White,heroin,Heroin,DC,NA,NA,NA,2.03
2012,nhw,Non-Hispanic White,heroin,Heroin,DC,NA,NA,NA,2.74
2013,nhw,Non-Hispanic White,heroin,Heroin,DC,NA,NA,NA,3.69
2014,nhw,Non-Hispanic White,heroin,Heroin,DC,3.3099999999999996,1.2323999999999997,5.387599999999999,4.98
2015,nhw,Non-Hispanic White,heroin,Heroin,DC,8.16,4.338,11.982,6.71
2016,nhw,Non-Hispanic White,heroin,Heroin,DC,5.3,2.5755999999999997,8.0244,4.98
2017,nhw,Non-Hispanic White,heroin,Heroin,DC,4.7,1.8972000000000002,7.502800000000001,3.69
2018,nhw,Non-Hispanic White,heroin,Heroin,DC,NA,NA,NA,2.74
1999,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,DC,NA,NA,NA,1.45
2000,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,DC,NA,NA,NA,1.57
2001,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,DC,NA,NA,NA,1.7
2002,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,DC,NA,NA,NA,1.85
2003,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,DC,NA,NA,NA,2.01
2004,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,DC,5.91,3.3032,8.5168,2.18
2005,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,DC,NA,NA,NA,2.3699999999999997
2006,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,DC,3.72,1.5836000000000001,5.856400000000001,2.57
2007,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,DC,NA,NA,NA,2.79
2008,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,DC,NA,NA,NA,3.02
2009,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,DC,NA,NA,NA,3.2800000000000002
2010,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,DC,NA,NA,NA,3.56
2011,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,DC,NA,NA,NA,3.8699999999999997
2012,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,DC,NA,NA,NA,4.2
2013,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,DC,NA,NA,NA,4.56
2014,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,DC,4.56,2.2079999999999997,6.911999999999999,4.95
2015,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,DC,4.08,1.8651999999999997,6.2948,5.37
2016,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,DC,8.31,5.468,11.152000000000001,5.83
2017,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,DC,7.4,4.4992,10.3008,6.319999999999999
2018,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,DC,7.53,4.413600000000001,10.6464,6.859999999999999
1999,nhw,Non-Hispanic White,natural,Natural and semi-synthetic opioids,DC,NA,NA,NA,1.12
