year,race_eth,abbrev,opioid_type,obs_rate,obs_se,model_rate,f_model,flag,segment,apc,apc_lower,apc_upper,apc_test_stat,apc_pval,aapc,aapc_lower,aapc_upper,aapc_test_stat,aapc_pval,start_year,end_year,n_obs,n_param,df,sse,mse,jp_year,jp_lower,jp_upper,intercept_beta,intercept_se,intercept_test_stat,intercept_pval,slope_beta,slope_se,slope_test_stat,slope_pval,slope_change_beta,slope_change_se,slope_change_test_stat,slope_change_pval,name,deaths,pop,n_suppressed
1999,nhb,AL,heroin,NA,NA,0.09,2,0,0,0.4,-9.2,11.1,0.1,0.9,15.5,6.6,25.1,3.5,0,1999,2018,20,6,14,3.345392,0.238957,NA,NA,NA,-11.291814,92.964019,-0.121464,0.905334,0.004448,0.04639,0.095888,0.925192,NA,NA,NA,NA,Alabama,NA,1156898,15
2000,nhb,AL,heroin,NA,NA,0.09,2,0,0,0.4,-9.2,11.1,0.1,0.9,15.5,6.6,25.1,3.5,0,1999,2018,20,6,14,3.345392,0.238957,NA,NA,NA,-11.291814,92.964019,-0.121464,0.905334,0.004448,0.04639,0.095888,0.925192,NA,NA,NA,NA,Alabama,NA,1162877,15
2001,nhb,AL,heroin,NA,NA,0.09,2,0,0,0.4,-9.2,11.1,0.1,0.9,15.5,6.6,25.1,3.5,0,1999,2018,20,6,14,3.345392,0.238957,NA,NA,NA,-11.291814,92.964019,-0.121464,0.905334,0.004448,0.04639,0.095888,0.925192,NA,NA,NA,NA,Alabama,NA,1169299,15
2002,nhb,AL,heroin,NA,NA,0.09,2,0,0,0.4,-9.2,11.1,0.1,0.9,15.5,6.6,25.1,3.5,0,1999,2018,20,6,14,3.345392,0.238957,NA,NA,NA,-11.291814,92.964019,-0.121464,0.905334,0.004448,0.04639,0.095888,0.925192,NA,NA,NA,NA,Alabama,NA,1173950,15
2003,nhb,AL,heroin,NA,NA,0.09,2,0,0,0.4,-9.2,11.1,0.1,0.9,15.5,6.6,25.1,3.5,0,1999,2018,20,6,14,3.345392,0.238957,NA,NA,NA,-11.291814,92.964019,-0.121464,0.905334,0.004448,0.04639,0.095888,0.925192,NA,NA,NA,NA,Alabama,NA,1181015,15
2004,nhb,AL,heroin,NA,NA,0.09,2,0,0,0.4,-9.2,11.1,0.1,0.9,15.5,6.6,25.1,3.5,0,1999,2018,20,6,14,3.345392,0.238957,NA,NA,NA,-11.291814,92.964019,-0.121464,0.905334,0.004448,0.04639,0.095888,0.925192,NA,NA,NA,NA,Alabama,NA,1189488,15
2005,nhb,AL,heroin,NA,NA,0.09,2,0,0,0.4,-9.2,11.1,0.1,0.9,15.5,6.6,25.1,3.5,0,1999,2018,20,6,14,3.345392,0.238957,NA,NA,NA,-11.291814,92.964019,-0.121464,0.905334,0.004448,0.04639,0.095888,0.925192,NA,NA,NA,NA,Alabama,NA,1200444,15
2006,nhb,AL,heroin,NA,NA,0.09,2,0,0,0.4,-9.2,11.1,0.1,0.9,15.5,6.6,25.1,3.5,0,1999,2018,20,6,14,3.345392,0.238957,NA,NA,NA,-11.291814,92.964019,-0.121464,0.905334,0.004448,0.04639,0.095888,0.925192,NA,NA,NA,NA,Alabama,NA,1219303,15
2007,nhb,AL,heroin,NA,NA,0.09,2,0,0,0.4,-9.2,11.1,0.1,0.9,15.5,6.6,25.1,3.5,0,1999,2018,20,6,14,3.345392,0.238957,NA,NA,NA,-11.291814,92.964019,-0.121464,0.905334,0.004448,0.04639,0.095888,0.925192,NA,NA,NA,NA,Alabama,NA,1231942,15
2008,nhb,AL,heroin,NA,NA,0.09,2,0,0,0.4,-9.2,11.1,0.1,0.9,15.5,6.6,25.1,3.5,0,1999,2018,20,6,14,3.345392,0.238957,NA,NA,NA,-11.291814,92.964019,-0.121464,0.905334,0.004448,0.04639,0.095888,0.925192,NA,NA,NA,NA,Alabama,NA,1246295,15
