year,st_fips,abbrev,name,opioid_type,obs_rate_nhb,obs_rate_nhw,obs_var_nhb,obs_var_nhw,deaths_nhb,deaths_nhw,obs_se_nhb,obs_se_nhw,opioid_cat,obs_rr,obs_rd,obs_rr_se,obs_rd_se,obs_rr_lower,obs_rr_upper,obs_rd_lower,obs_rd_upper,obs_rr_sig,obs_rd_sig
2014,01,AL,Alabama,heroin,1.1906103538658428,3.6612354299867738,0.0988185936402117,0.12992545863458466,15,107,0.3143542486434877,0.3604517424490894,Heroin,0.32519360653902113,-2.470625076120931,0.07940325637255354,0.4782719438507724,0.1695632240488162,0.4808239890292261,-3.4080380860684447,-1.5332120661734172,1,1
2015,01,AL,Alabama,heroin,1.420804438238597,3.134602343568083,0.11084552018254187,0.11303759284612973,19,90,0.33293470858794805,0.33621063761595904,Heroin,0.4532646513054383,-1.713797905329486,0.06641400033070932,0.47316288213327934,0.32309321065724805,0.5834360919536286,-2.6411971543107136,-0.7863986563482586,1,1
2016,01,AL,Alabama,heroin,1.3852533108377134,3.764599332482753,0.11645383428899143,0.13725067354893972,17,107,0.34125332861232494,0.3704735800957198,Heroin,0.36796832504460414,-2.3793460216450395,0.07037145685254201,0.5036908852043396,0.2300402696136218,0.5058963804755865,-3.3665801566455453,-1.392111886644534,1,1
2017,01,AL,Alabama,heroin,1.6799383393261837,3.4716180396315135,0.14427214202498337,0.12395073785307249,20,102,0.3798317285654048,0.3520663827363705,Heroin,0.4839064436663939,-1.7916797003053297,0.06140513163875959,0.5179023845070188,0.3635523856544251,0.6042605016783626,-2.8067683739390867,-0.776591026671573,1,1
2018,01,AL,Alabama,heroin,1.5020897198088934,4.03505295999153,0.11762691390286191,0.14820559090383056,20,115,0.3429678030119765,0.38497479255638356,Heroin,0.37226022426532074,-2.532963240182637,0.061235882278762505,0.5155894731340939,0.2522378949989462,0.49228255353169525,-3.5435186075254608,-1.522407872839813,1,1
2019,01,AL,Alabama,heroin,1.5048915362492346,3.905969814128718,0.11900634271565684,0.1409019329654462,20,114,0.344972959397772,0.375369062344576,Heroin,0.38527986847356677,-2.4010782778794835,0.06178389959466072,0.5098120003306151,0.26418342526803174,0.5063763116791018,-3.400309798527489,-1.401846757231478,1,1
2014,01,AL,Alabama,natural,0.8372403439273947,2.328476509047898,0.06643347414218648,0.0730357299361372,11,79,0.2577469187831088,0.27025123484664637,Natural and semi-synthetic opioids,0.3595657249167345,-1.4912361651205033,0.10824419163086042,0.37345575919822643,0.14740710932024806,0.571724340513221,-2.223209453149027,-0.7592628770919795,1,1
2016,01,AL,Alabama,natural,1.0113000615283996,2.4871574497822757,0.08218766440247116,0.08465069836692574,13,78,0.286683910260885,0.2909479306799169,Natural and semi-synthetic opioids,0.40660878209255635,-1.4758573882538761,0.09404557341848667,0.4084585202556031,0.22227945819232248,0.5909381059927903,-2.276436087954858,-0.6752786885528941,1,1
2017,01,AL,Alabama,natural,2.023856588419478,3.4655427032691857,0.1630790151654876,0.11390949611497514,26,113,0.4038304287265728,0.3375048090249606,Natural and semi-synthetic opioids,0.583994127820238,-1.4416861148497078,0.049298821610899955,0.5262969801171794,0.48736843746287406,0.6806198181776019,-2.473228195879379,-0.41014403382003617,1,1
2018,01,AL,Alabama,natural,1.3406750832471863,3.3889256735556468,0.10928999889468226,0.11566982069661962,17,108,0.33059037931355817,0.34010266199578565,Natural and semi-synthetic opioids,0.39560474686969327,-2.0482505903084602,0.0708757094897206,0.474299293264603,0.2566883562698409,0.5345211374695457,-2.977877205107082,-1.1186239755098384,1,1
