year,st_fips,abbrev,name,race_eth,race_cat,opioid_type,opioid_cat,obs_rate,deaths,pop,model_rate
1999,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,121663,0.07
2000,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,124050,0.18
2001,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,127077,0.52
2002,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,129170,1.45
2003,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,129910,4.09
2004,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,opioid,All opioids,12.459681731570981,17,132446,11.5
2005,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,opioid,All opioids,9.68746313302965,13,133719,10.94
2006,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,137343,10.4
2007,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,opioid,All opioids,13.150470407904498,18,140722,9.89
2008,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,opioid,All opioids,12.709555556355,17,144510,9.41
2009,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,opioid,All opioids,9.723799269777256,15,148549,8.94
2010,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,151635,8.51
2011,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,154811,8.09
2012,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,159103,7.6899999999999995
2013,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,163603,7.319999999999999
2014,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,opioid,All opioids,9.946913782511183,16,168497,6.96
2015,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,opioid,All opioids,8.744717057967724,16,173245,6.619999999999999
2016,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,177010,6.29
2017,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,opioid,All opioids,6.468010551330913,12,179639,5.98
2018,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,opioid,All opioids,10.379287234379673,19,183531,9.92
2019,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,opioid,All opioids,16.219592238358285,30,186864,16.45
1999,02,AK,Alaska,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,24886,0.91
2000,02,AK,Alaska,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,24770,0.88
2001,02,AK,Alaska,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,25248,0.8400000000000001
2002,02,AK,Alaska,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,25932,0.81
2003,02,AK,Alaska,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,25918,0.7799999999999999
2004,02,AK,Alaska,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,26237,0.75
2005,02,AK,Alaska,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,26229,0.73
2006,02,AK,Alaska,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,26447,0.7
2007,02,AK,Alaska,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,26814,0.6699999999999999
2008,02,AK,Alaska,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,27184,0.65
2009,02,AK,Alaska,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,27541,0.89
2010,02,AK,Alaska,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,28637,1.23
2011,02,AK,Alaska,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,29512,1.7
2012,02,AK,Alaska,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,30643,2.34
2013,02,AK,Alaska,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,31401,3.22
2014,02,AK,Alaska,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,31315,4.430000000000001
2015,02,AK,Alaska,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,31291,6.109999999999999
2016,02,AK,Alaska,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,31985,8.41
2017,02,AK,Alaska,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,32282,11.59
2018,02,AK,Alaska,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,32296,15.96
2019,02,AK,Alaska,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,32019,21.99
