year,st_fips,abbrev,name,race_eth,race_cat,opioid_type,opioid_cat,obs_rate,deaths,pop,model_rate
1999,01,AL,Alabama,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,1156898,0.16
2000,01,AL,Alabama,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,1162877,0.18
2001,01,AL,Alabama,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,1169299,0.19
2002,01,AL,Alabama,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,1173950,0.21000000000000002
2003,01,AL,Alabama,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,1181015,0.23
2004,01,AL,Alabama,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,1189488,0.24000000000000002
2005,01,AL,Alabama,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,1200444,0.26
2006,01,AL,Alabama,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,1219303,0.29000000000000004
2007,01,AL,Alabama,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,1231942,0.31
2008,01,AL,Alabama,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,1246295,0.33999999999999997
2009,01,AL,Alabama,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,1257451,0.36
2010,01,AL,Alabama,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,1267093,0.39
2011,01,AL,Alabama,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,1273606,0.43000000000000005
2012,01,AL,Alabama,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,1282940,0.46
2013,01,AL,Alabama,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,1292236,0.5
2014,01,AL,Alabama,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,1299143,0.54
2015,01,AL,Alabama,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,1306404,0.59
2016,01,AL,Alabama,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,1311414,0.63
2017,01,AL,Alabama,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,1.2643025635253582,17,1316062,0.69
2018,01,AL,Alabama,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,1320461,0.74
2019,01,AL,Alabama,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,1324613,0.81
1999,05,AR,Arkansas,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,422065,0.35
2000,05,AR,Arkansas,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,423762,0.38
2001,05,AR,Arkansas,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,426137,0.41000000000000003
2002,05,AR,Arkansas,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,428236,0.44
2003,05,AR,Arkansas,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,430651,0.48000000000000004
2004,05,AR,Arkansas,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,434042,0.51
2005,05,AR,Arkansas,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,437543,0.56
2006,05,AR,Arkansas,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,444779,0.6
2007,05,AR,Arkansas,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,447377,0.65
2008,05,AR,Arkansas,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,451963,0.7
2009,05,AR,Arkansas,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,455462,0.76
2010,05,AR,Arkansas,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,460480,0.8200000000000001
2011,05,AR,Arkansas,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,463757,0.88
2012,05,AR,Arkansas,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,465758,0.9500000000000001
2013,05,AR,Arkansas,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,468354,1.03
2014,05,AR,Arkansas,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,470706,1.11
2015,05,AR,Arkansas,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,473995,1.2
