year,st_fips,abbrev,name,race_eth,race_cat,opioid_type,opioid_cat,obs_rate,deaths,pop,model_rate
1999,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,121663,0.07
2000,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,124050,0.18
2001,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,127077,0.52
2002,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,129170,1.45
2003,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,129910,4.09
2004,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,opioid,All opioids,12.459681731570981,17,132446,11.5
2005,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,opioid,All opioids,9.68746313302965,13,133719,10.94
2006,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,137343,10.4
2007,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,opioid,All opioids,13.150470407904498,18,140722,9.89
2008,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,opioid,All opioids,12.709555556355,17,144510,9.41
2009,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,opioid,All opioids,9.723799269777256,15,148549,8.94
2010,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,151635,8.51
2011,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,154811,8.09
2012,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,159103,7.6899999999999995
2013,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,163603,7.319999999999999
2014,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,opioid,All opioids,9.946913782511183,16,168497,6.96
2015,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,opioid,All opioids,8.744717057967724,16,173245,6.619999999999999
2016,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,177010,6.29
2017,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,opioid,All opioids,6.468010551330913,12,179639,5.98
2018,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,opioid,All opioids,10.379287234379673,19,183531,9.92
2019,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,opioid,All opioids,16.219592238358285,30,186864,16.45
1999,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,223525,2.7
2000,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,223078,2.8899999999999997
2001,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,219789,3.09
2002,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,213962,3.3
2003,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,209118,3.52
2004,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,opioid,All opioids,5.095645109340314,11,204643,3.7600000000000002
2005,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,200181,4.02
2006,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,198094,4.3
2007,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,196640,4.59
2008,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,196285,4.9
2009,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,197106,5.24
2010,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,196774,5.6
2011,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,opioid,All opioids,5.818462185160176,14,196803,5.98
2012,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,196501,6.39
2013,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,195466,6.83
2014,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,opioid,All opioids,8.913843841634073,20,194001,7.3
2015,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,opioid,All opioids,9.167717440274261,18,193140,7.8
2016,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,opioid,All opioids,7.520610356343647,17,190875,8.33
