abbrev,name,opioid_cat,opioid_type,race_eth,race_cat,deaths,obs_rate,model_rate,apc_print,apc_pval,doubling_time
Adams County (CO),Adams County,Heroin,heroin,nhb,Non-Hispanic Black,<11,"NA",4.9,"96 (-7, 310)",0.07,"1.5 (-14.4, 0.7)"
AL,Alabama,Heroin,heroin,nhb,Non-Hispanic Black,20,1.5,1.5,"0 (-9, 11)",0.91,"200.5 (-10.2, 9.3)"
Alameda County (CA),Alameda County,Heroin,heroin,nhb,Non-Hispanic Black,<11,"NA",1.6,"3 (-1, 8)",0.12,"30.8 (-110.6, 13.7)"
Allegheny County (PA),Allegheny County,Heroin,heroin,nhb,Non-Hispanic Black,33,21.2,21.6,"19 (10, 28)",<.001,"5.9 (10.3, 4.1)"
AZ,Arizona,Heroin,heroin,nhb,Non-Hispanic Black,<11,"NA",3.6,"11 (5, 17)",<.01,"9.6 (20.9, 6.2)"
Baltimore city (MD),Baltimore city,Heroin,heroin,nhb,Non-Hispanic Black,40,9.0,10.2,"-29 (-44, -12)",<.01,"-2.9 (-1.8, -8.0)"
Baltimore County (MD),Baltimore County,Heroin,heroin,nhb,Non-Hispanic Black,<11,"NA",3.8,"-34 (-54, -5)",0.03,"-2.4 (-1.3, -18.7)"
Bexar County (TX),Bexar County,Heroin,heroin,nhb,Non-Hispanic Black,<11,"NA",3.9,"8 (2, 14)",0.01,"13.0 (50.5, 7.5)"
Bronx County (NY),Bronx County,Heroin,heroin,nhb,Non-Hispanic Black,45,9.0,9.5,"22 (18, 27)",<.001,"5.0 (6.0, 4.2)"
CA,California,Heroin,heroin,nhb,Non-Hispanic Black,74,2.9,2.8,"21 (12, 30)",<.001,"5.2 (8.6, 3.8)"
Charleston County (SC),Charleston County,Heroin,heroin,nhb,Non-Hispanic Black,<11,"NA",8.9,"25 (18, 33)",<.001,"4.5 (6.2, 3.5)"
Clark County (NV),Clark County,Heroin,heroin,nhb,Non-Hispanic Black,<11,"NA",3.1,"34 (5, 70)",0.02,"3.5 (20.5, 1.9)"
CO,Colorado,Heroin,heroin,nhb,Non-Hispanic Black,16,6.1,5.7,"101 (-3, 318)",0.06,"1.4 (-30.7, 0.7)"
Contra Costa County (CA),Contra Costa County,Heroin,heroin,nhb,Non-Hispanic Black,<11,"NA",2.4,"14 (8, 21)",<.001,"7.7 (13.8, 5.3)"
Cook County (IL),Cook County,Heroin,heroin,nhb,Non-Hispanic Black,296,22.5,22.0,"2 (-14, 21)",0.79,"48.1 (-6.8, 5.3)"
CT,Connecticut,Heroin,heroin,nhb,Non-Hispanic Black,29,6.5,7.0,"-3 (-22, 19)",0.73,"-28.9 (-4.1, 5.7)"
Cuyahoga County (OH),Cuyahoga County,Heroin,heroin,nhb,Non-Hispanic Black,26,6.1,6.5,"-16 (-41, 20)",0.32,"-5.8 (-1.9, 5.4)"
Dallas County (TX),Dallas County,Heroin,heroin,nhb,Non-Hispanic Black,24,3.5,2.8,"5 (1, 8)",<.01,"21.8 (77.4, 12.7)"
Davidson County (TN),Davidson County,Heroin,heroin,nhb,Non-Hispanic Black,21,11.0,9.7,"28 (22, 36)",<.001,"4.0 (5.1, 3.3)"
DC,District of Columbia,Heroin,heroin,nhb,Non-Hispanic Black,79,21.4,19.2,"-22 (-53, 30)",0.32,"-4.1 (-1.3, 3.8)"
DE,Delaware,Heroin,heroin,nhb,Non-Hispanic Black,25,11.2,11.5,"33 (18, 50)",<.001,"3.5 (5.9, 2.5)"
District of Columbia (DC),District of Columbia,Heroin,heroin,nhb,Non-Hispanic Black,79,21.4,19.2,"-22 (-53, 30)",0.32,"-4.1 (-1.3, 3.8)"
Durham County (NC),Durham County,Heroin,heroin,nhb,Non-Hispanic Black,<11,"NA",5.4,"14 (6, 21)",<.01,"7.8 (15.9, 5.2)"
Erie County (NY),Erie County,Heroin,heroin,nhb,Non-Hispanic Black,<11,"NA",4.7,"7 (1, 13)",0.02,"14.4 (77.4, 8.0)"
Essex County (NJ),Essex County,Heroin,heroin,nhb,Non-Hispanic Black,84,23.7,29.9,"32 (19, 45)",<.001,"3.7 (5.8, 2.7)"
Fairfax County (VA),Fairfax County,Heroin,heroin,nhb,Non-Hispanic Black,<11,"NA",0.5,"-70 (-96, 126)",0.22,"-0.8 (-0.3, 1.2)"
FL,Florida,Heroin,heroin,nhb,Non-Hispanic Black,36,1.0,1.4,"23 (14, 33)",<.001,"4.8 (7.6, 3.5)"
Franklin County (OH),Franklin County,Heroin,heroin,nhb,Non-Hispanic Black,<11,"NA",4.6,"5 (-1, 11)",0.11,"21.8 (-90.4, 9.8)"
Fulton County (GA),Fulton County,Heroin,heroin,nhb,Non-Hispanic Black,15,3.0,3.5,"18 (10, 25)",<.001,"6.2 (10.4, 4.4)"
GA,Georgia,Heroin,heroin,nhb,Non-Hispanic Black,61,1.8,1.8,"28 (23, 34)",<.001,"4.0 (4.9, 3.4)"
Guilford County (NC),Guilford County,Heroin,heroin,nhb,Non-Hispanic Black,<11,"NA",3.9,"20 (14, 26)",<.001,"5.5 (7.5, 4.3)"
Hamilton County (OH),Hamilton County,Heroin,heroin,nhb,Non-Hispanic Black,<11,"NA",3.7,"-50 (-86, 84)",0.28,"-1.4 (-0.5, 1.6)"
Harris County (TX),Harris County,Heroin,heroin,nhb,Non-Hispanic Black,28,3.1,3.4,"51 (31, 75)",<.001,"2.4 (3.7, 1.8)"
Hartford County (CT),Hartford County,Heroin,heroin,nhb,Non-Hispanic Black,<11,"NA",6.3,"8 (2, 14)",0.01,"12.8 (48.1, 7.4)"
IA,Iowa,Heroin,heroin,nhb,Non-Hispanic Black,<11,"NA",11.2,"16 (8, 25)",<.001,"6.6 (12.5, 4.5)"
IL,Illinois,Heroin,heroin,nhb,Non-Hispanic Black,345,18.0,17.8,"-1 (-27, 36)",0.96,"-142.4 (-3.2, 3.3)"
IN,Indiana,Heroin,heroin,nhb,Non-Hispanic Black,43,6.5,6.0,"16 (13, 20)",<.001,"6.6 (8.4, 5.5)"
Jefferson County (KY),Jefferson County,Heroin,heroin,nhb,Non-Hispanic Black,<11,"NA",7.9,"22 (14, 31)",<.001,"5.0 (7.7, 3.7)"
Jefferson Parish (LA),Jefferson Parish,Heroin,heroin,nhb,Non-Hispanic Black,11,8.7,10.3,"24 (18, 32)",<.001,"4.6 (6.1, 3.6)"
King County (WA),King County,Heroin,heroin,nhb,Non-Hispanic Black,15,8.6,8.4,"0 (-14, 16)",0.97,"-332.8 (-6.4, 6.6)"
Kings County (NY),Kings County,Heroin,heroin,nhb,Non-Hispanic Black,38,4.3,4.6,"24 (20, 28)",<.001,"4.6 (5.5, 4.0)"
KY,Kentucky,Heroin,heroin,nhb,Non-Hispanic Black,11,3.1,2.7,"-19 (-37, 4)",0.09,"-4.7 (-2.2, 28.3)"
LA,Louisiana,Heroin,heroin,nhb,Non-Hispanic Black,32,2.3,2.6,"17 (11, 23)",<.001,"6.4 (9.5, 4.9)"
Lake County (IN),Lake County,Heroin,heroin,nhb,Non-Hispanic Black,14,11.5,8.9,"23 (17, 29)",<.001,"4.8 (6.3, 3.9)"
Los Angeles County (CA),Los Angeles County,Heroin,heroin,nhb,Non-Hispanic Black,24,2.7,2.6,"31 (2, 68)",0.04,"3.7 (63.0, 1.9)"
MA,Massachusetts,Heroin,heroin,nhb,Non-Hispanic Black,20,3.6,3.3,"-18 (-35, 2)",0.07,"-4.9 (-2.3, 44.0)"
Maricopa County (AZ),Maricopa County,Heroin,heroin,nhb,Non-Hispanic Black,<11,"NA",3.8,"10 (4, 17)",<.01,"10.0 (24.3, 6.3)"
Marion County (IN),Marion County,Heroin,heroin,nhb,Non-Hispanic Black,19,7.1,7.6,"35 (15, 58)",<.01,"3.4 (7.3, 2.2)"
MD,Maryland,Heroin,heroin,nhb,Non-Hispanic Black,79,3.8,4.1,"-26 (-39, -11)",<.01,"-3.3 (-2.0, -8.7)"
Mecklenburg County (NC),Mecklenburg County,Heroin,heroin,nhb,Non-Hispanic Black,13,3.3,3.8,"18 (13, 23)",<.001,"6.0 (8.1, 4.8)"
MI,Michigan,Heroin,heroin,nhb,Non-Hispanic Black,143,9.5,9.4,"-9 (-38, 33)",0.61,"-10.9 (-2.1, 3.5)"
Miami-Dade County (FL),Miami-Dade County,Heroin,heroin,nhb,Non-Hispanic Black,<11,"NA",1.9,"-11 (-50, 61)",0.68,"-8.8 (-1.4, 2.1)"
Milwaukee County (WI),Milwaukee County,Heroin,heroin,nhb,Non-Hispanic Black,32,13.3,14.3,"15 (11, 20)",<.001,"7.1 (9.8, 5.6)"
MN,Minnesota,Heroin,heroin,nhb,Non-Hispanic Black,28,7.8,6.6,"5 (-2, 12)",0.18,"21.8 (-41.2, 8.6)"
MO,Missouri,Heroin,heroin,nhb,Non-Hispanic Black,95,13.6,17.6,"14 (11, 16)",<.001,"7.9 (9.8, 6.7)"
Monroe County (NY),Monroe County,Heroin,heroin,nhb,Non-Hispanic Black,<11,"NA",4.7,"0 (-14, 17)",0.98,"1000.5 (-6.6, 6.5)"
Montgomery County (MD),Montgomery County,Heroin,heroin,nhb,Non-Hispanic Black,18,2.0,1.9,"-21 (-34, -4)",0.02,"-4.3 (-2.4, -21.7)"
Montgomery County (OH),Montgomery County,Heroin,heroin,nhb,Non-Hispanic Black,<11,"NA",7.4,"4 (0, 9)",0.07,"23.8 (-199.5, 11.2)"
Nassau County (NY),Nassau County,Heroin,heroin,nhb,Non-Hispanic Black,<11,"NA",3.6,"26 (18, 34)",<.001,"4.4 (5.9, 3.5)"
NC,North Carolina,Heroin,heroin,nhb,Non-Hispanic Black,71,3.0,3.4,"22 (18, 27)",<.001,"5.0 (6.2, 4.2)"
New Castle County (DE),New Castle County,Heroin,heroin,nhb,Non-Hispanic Black,17,11.1,11.9,"24 (15, 32)",<.001,"4.7 (7.0, 3.6)"
New Haven County (CT),New Haven County,Heroin,heroin,nhb,Non-Hispanic Black,11,8.2,9.8,"14 (7, 22)",<.001,"7.5 (14.0, 5.1)"
New York County (NY),New York County,Heroin,heroin,nhb,Non-Hispanic Black,27,10.2,13.6,"21 (16, 27)",<.001,"5.2 (6.9, 4.2)"
NJ,New Jersey,Heroin,heroin,nhb,Non-Hispanic Black,205,15.6,21.0,"35 (24, 48)",<.001,"3.3 (4.7, 2.6)"
Norfolk city (VA),Norfolk city,Heroin,heroin,nhb,Non-Hispanic Black,<11,"NA",11.3,"16 (10, 23)",<.001,"6.7 (11.0, 4.8)"
NV,Nevada,Heroin,heroin,nhb,Non-Hispanic Black,11,3.5,3.7,"43 (2, 101)",0.04,"2.8 (50.5, 1.4)"
