abbrev,name,opioid_cat,opioid_type,race_eth,race_cat,deaths,obs_rate,model_rate,apc,apc_lower,apc_upper,apc_pval,doubling_time
Adams County (CO),Adams County,Heroin,heroin,nhb,Non-Hispanic Black,NA,NA,4.930000000000001,95.6,-6.7,310.1,0.072,"1.0 (-10.0, 0.5)"
AL,Alabama,Heroin,heroin,nhb,Non-Hispanic Black,20,1.5048915362492346,1.54,0.5,-9.3,11.4,0.91,"139.0 (-7.1, 6.4)"
Alameda County (CA),Alameda County,Heroin,heroin,nhb,Non-Hispanic Black,NA,NA,1.6300000000000001,3.3,-0.9,7.6,0.115,"21.3 (-76.7, 9.5)"
Allegheny County (PA),Allegheny County,Heroin,heroin,nhb,Non-Hispanic Black,33,21.23203839957633,21.55,18.6,10.2,27.6,0,"4.1 (7.1, 2.8)"
AZ,Arizona,Heroin,heroin,nhb,Non-Hispanic Black,NA,NA,3.6,11,4.9,17.4,0.001,"6.6 (14.5, 4.3)"
Baltimore city (MD),Baltimore city,Heroin,heroin,nhb,Non-Hispanic Black,40,9.024562918402474,10.239999999999998,-29.3,-43.5,-11.7,0.006,"-2.0 (-1.2, -5.6)"
Baltimore County (MD),Baltimore County,Heroin,heroin,nhb,Non-Hispanic Black,NA,NA,3.7600000000000002,-33.7,-53.6,-5.2,0.028,"-1.7 (-0.9, -13.0)"
Bexar County (TX),Bexar County,Heroin,heroin,nhb,Non-Hispanic Black,NA,NA,3.94,8,2,14.3,0.011,"9.0 (35.0, 5.2)"
Bronx County (NY),Bronx County,Heroin,heroin,nhb,Non-Hispanic Black,45,8.97260138709903,9.53,22.3,18.2,26.6,0,"3.4 (4.1, 2.9)"
CA,California,Heroin,heroin,nhb,Non-Hispanic Black,74,2.85411694460412,2.7600000000000002,21,12.4,30.3,0,"3.6 (5.9, 2.6)"
Charleston County (SC),Charleston County,Heroin,heroin,nhb,Non-Hispanic Black,NA,NA,8.89,24.9,17.5,32.7,0,"3.1 (4.3, 2.4)"
Clark County (NV),Clark County,Heroin,heroin,nhb,Non-Hispanic Black,NA,NA,3.06,33.5,5,69.7,0.021,"2.4 (14.2, 1.3)"
CO,Colorado,Heroin,heroin,nhb,Non-Hispanic Black,16,6.07180072278573,5.659999999999999,101.2,-3.2,318.4,0.06,"1.0 (-21.3, 0.5)"
Contra Costa County (CA),Contra Costa County,Heroin,heroin,nhb,Non-Hispanic Black,NA,NA,2.4,13.9,7.5,20.7,0,"5.3 (9.6, 3.7)"
Cook County (IL),Cook County,Heroin,heroin,nhb,Non-Hispanic Black,296,22.51728365975207,22.02,2.1,-13.6,20.8,0.786,"33.4 (-4.7, 3.7)"
CT,Connecticut,Heroin,heroin,nhb,Non-Hispanic Black,29,6.491021626661817,7.05,-3.4,-21.7,19.2,0.727,"-20.0 (-2.8, 3.9)"
